Counter                                                                                   ID  
-------                                                                                   --  
"Грязные" страницы                                                                        1810
% Idle Time                                                                               8686
% of Maximum Frequency                                                                    9338
% активности диска                                                                        200 
% активности диска при записи                                                             204 
% активности диска при чтении                                                             202 
% восстанавливаемых дескрипторов                                                          7648
% времени C1                                                                              5784
% времени C2                                                                              5786
% времени C3                                                                              5788
% времени DPC                                                                             5774
% времени в GC                                                                            3816
% времени в состоянии приостановки (за время существования)                               4608
% времени в состоянии приостановки (одномоментное значение)                               4606
% времени гостевой работы                                                                 9048
% времени на загрузку                                                                     3834
% времени на компиляцию по требованию                                                     3876
% времени на проверки при выполнении                                                      3922
% времени обработки                                                                       4670
% времени прерываний                                                                      5776
% времени простоя                                                                         4666
% времени работы низкоуровневой оболочки                                                  9046
% времени удаленного выполнения                                                           9058
% времени холостого цикла                                                                 4668
% загруженности процессора                                                                5766
% использования                                                                           702 
% использования (пик)                                                                     704 
% использования выделенной памяти                                                         1406
% использования квоты реестра                                                             1350
% используемых сеансов                                                                    2994
% итераций холостого цикла                                                                4662
% консервации кэша базы данных                                                            2486
% максимальной частоты                                                                    8642
% общего времени выполнения                                                               8680
% общего времени работы                                                                   9044
% ограничения производительности                                                          5826
% от максимальной частоты                                                                 5802
% от общей пропускной способности, используемый для ISO                                   1890
% от общей пропускной способности, используемый для прерываний                            1888
% пассивного ограничения                                                                  6040
% полезной загрузки процессора                                                            5818
% попаданий в кэше базы данных                                                            3274
% попаданий в кэше для открытых таблиц                                                    2998
% попаданий при отображении данных                                                        94  
% попаданий при чтении с копированием                                                     112 
% попаданий фиксации при чтении                                                           104 
% попаданий чтений MDL                                                                    120 
% привилегированной полезной загрузки                                                     5822
% приоритетной загруженности                                                              5796
% проверки подлинности по временным сигналам                                              3918
% работы в пользовательском режиме                                                        5768
% работы в привилегированном режиме                                                       5770
% свободного места                                                                        408 
% устойчивых дескрипторов                                                                 7656
1-гигабайтные GPA-страницы                                                                8712
1-гигабайтные страницы устройства                                                         8720
2-мегабайтные GPA-страницы                                                                8710
2-мегабайтные страницы устройства                                                         8718
4-килобайтные GPA-страницы                                                                8708
4-килобайтные страницы устройства                                                         8716
AAAA: синтезированные записи                                                              5014
AFTS Execution Time (ms)                                                                      
AllRequests                                                                               8206
ArrivalRate                                                                               8214
Art Extraction Time (ms)                                                                      
AS-запросов KDC                                                                           1576
AS-запросов с требованием утверждений к KDC                                               1624
Bytes Read/sec                                                                                
Bytes Received in Transport Mode/sec                                                      6382
Bytes Written/sec                                                                             
BytesReceivedRate                                                                         8192
BytesSentRate                                                                             8190
BytesTransferredRate                                                                      8194
C1 переходов/сек                                                                          1754
C1-переходов/сек                                                                          5790
C2 переходов/сек                                                                          1756
C2-переходов/сек                                                                          5792
C3 переходов/сек                                                                          1758
C3-переходов/сек                                                                          5794
Cache Entries                                                                             3738
Cache Hit Ratio                                                                           3732
Cache Hits                                                                                3728
Cache Misses                                                                              3730
Cache Trims                                                                               3736
Cache Turnover Rate                                                                       3740
CacheHitRate                                                                              8220
Charge Rate                                                                               9170
Commit Time (ms)                                                                              
ConnectionAttempts                                                                        8200
CurrentConnections                                                                        8196
CurrentQueueSize                                                                          8210
CurrentUrisCached                                                                         8176
Database Cache % Hit (Unique)                                                             3706
Database Cache Requests/sec (Unique)                                                      3710
Database Cache Size (MB)                                                                  3636
Database Oldest Transaction                                                               3632
Dedicated Usage                                                                               
Directory Change Queue Length                                                                 
Dirty Directory Hit Count                                                                     
Discharge Rate                                                                            9172
DPC/с                                                                                     7712
Failed Main Mode Negotiations                                                             6446
FEC                                                                                       8390
File Scanning Thread Prioirty                                                                 
Files Scanned/Minute                                                                          
FWPM_LAYER_ALE_AUTH_CONNECT_V4                                                            6846
FWPM_LAYER_ALE_AUTH_CONNECT_V4_DISCARD                                                    6848
FWPM_LAYER_ALE_AUTH_CONNECT_V6                                                            6850
FWPM_LAYER_ALE_AUTH_CONNECT_V6_DISCARD                                                    6852
FWPM_LAYER_ALE_AUTH_LISTEN_V4                                                             6830
FWPM_LAYER_ALE_AUTH_LISTEN_V4_DISCARD                                                     6832
FWPM_LAYER_ALE_AUTH_LISTEN_V6                                                             6834
FWPM_LAYER_ALE_AUTH_LISTEN_V6_DISCARD                                                     6836
FWPM_LAYER_ALE_AUTH_RECV_ACCEPT_V4                                                        6838
FWPM_LAYER_ALE_AUTH_RECV_ACCEPT_V4_DISCARD                                                6840
FWPM_LAYER_ALE_AUTH_RECV_ACCEPT_V6                                                        6842
FWPM_LAYER_ALE_AUTH_RECV_ACCEPT_V6_DISCARD                                                6844
FWPM_LAYER_ALE_BIND_REDIRECT_V4                                                           6886
FWPM_LAYER_ALE_BIND_REDIRECT_V6                                                           6888
FWPM_LAYER_ALE_CONNECT_REDIRECT_V4                                                        6882
FWPM_LAYER_ALE_CONNECT_REDIRECT_V6                                                        6884
FWPM_LAYER_ALE_ENDPOINT_CLOSURE_V4                                                        6878
FWPM_LAYER_ALE_ENDPOINT_CLOSURE_V6                                                        6880
FWPM_LAYER_ALE_FLOW_ESTABLISHED_V4                                                        6854
FWPM_LAYER_ALE_FLOW_ESTABLISHED_V4_DISCARD                                                6856
FWPM_LAYER_ALE_FLOW_ESTABLISHED_V6                                                        6858
FWPM_LAYER_ALE_FLOW_ESTABLISHED_V6_DISCARD                                                6860
FWPM_LAYER_ALE_PRECLASSIFY_IP_LOCAL_ADDRESS_V4                                            6914
FWPM_LAYER_ALE_PRECLASSIFY_IP_LOCAL_ADDRESS_V6                                            6922
FWPM_LAYER_ALE_PRECLASSIFY_IP_LOCAL_PORT_V4                                               6918
FWPM_LAYER_ALE_PRECLASSIFY_IP_LOCAL_PORT_V6                                               6926
FWPM_LAYER_ALE_PRECLASSIFY_IP_REMOTE_ADDRESS_V4                                           6916
FWPM_LAYER_ALE_PRECLASSIFY_IP_REMOTE_ADDRESS_V6                                           6924
FWPM_LAYER_ALE_PRECLASSIFY_IP_REMOTE_PORT_V4                                              6920
FWPM_LAYER_ALE_PRECLASSIFY_IP_REMOTE_PORT_V6                                              6928
FWPM_LAYER_ALE_RESOURCE_ASSIGNMENT_V4                                                     6822
FWPM_LAYER_ALE_RESOURCE_ASSIGNMENT_V4_DISCARD                                             6824
FWPM_LAYER_ALE_RESOURCE_ASSIGNMENT_V6                                                     6826
FWPM_LAYER_ALE_RESOURCE_ASSIGNMENT_V6_DISCARD                                             6828
FWPM_LAYER_ALE_RESOURCE_RELEASE_V4                                                        6874
FWPM_LAYER_ALE_RESOURCE_RELEASE_V6                                                        6876
FWPM_LAYER_DATAGRAM_DATA_V4                                                               6798
FWPM_LAYER_DATAGRAM_DATA_V4_DISCARD                                                       6800
FWPM_LAYER_DATAGRAM_DATA_V6                                                               6802
FWPM_LAYER_DATAGRAM_DATA_V6_DISCARD                                                       6804
FWPM_LAYER_EGRESS_VSWITCH_ETHERNET                                                        6896
FWPM_LAYER_EGRESS_VSWITCH_TRANSPORT_V4                                                    6902
