Counter                                                                                                   ID                                                                                                      
-------                                                                                                   --                                                                                                      
% Privileged Time                                                                                         5182                                                                                                    
% Processor Time                                                                                          5178                                                                                                    
% User Time                                                                                               5180                                                                                                    
Creating Process ID                                                                                       1410                                                                                                    
Elapsed Time                                                                                              684                                                                                                     
Handle Count                                                                                              952                                                                                                     
ID Process                                                                                                784                                                                                                     
IO Data Bytes/sec                                                                                         1424                                                                                                    
IO Data Operations/sec                                                                                    1416                                                                                                    
IO Other Bytes/sec                                                                                        1426                                                                                                    
IO Other Operations/sec                                                                                   1418                                                                                                    
IO Read Bytes/sec                                                                                         1420                                                                                                    
IO Read Operations/sec                                                                                    1412                                                                                                    
IO Write Bytes/sec                                                                                        1422                                                                                                    
IO Write Operations/sec                                                                                   1414                                                                                                    
Page Faults/sec                                                                                           28                                                                                                      
Page File Bytes                                                                                           184                                                                                                     
Page File Bytes Peak                                                                                      182                                                                                                     
Pool Nonpaged Bytes                                                                                       58                                                                                                      
Pool Paged Bytes                                                                                          56                                                                                                      
Priority Base                                                                                             682                                                                                                     
Private Bytes                                                                                             186                                                                                                     
Thread Count                                                                                              680                                                                                                     
Virtual Bytes                                                                                             1766                                                                                                    
Virtual Bytes Peak                                                                                        172                                                                                                     
Working Set                                                                                               180                                                                                                     
Working Set - Private                                                                                     1478                                                                                                    
Working Set Peak                                                                                          178                                                                                                     
